class,algorithm,n,k,k_label,E1,E2
I,Column Sampling,100,7,log2(n),0.0211119522860046,0.5284219336786558
I,Random Projection,100,7,log2(n),0.04300586156341896,1.0084807851446538
I,Column Sampling,100,44,(log2(n))^2,0.004084902938271383,2.83454044414995
I,Random Projection,100,44,(log2(n))^2,2.8798169729411425e-05,8.484033089422699
I,Column Sampling,100,20,n/5,0.009906252768900264,1.212820504398104
I,Random Projection,100,20,n/5,0.003351368083858343,3.3690910536044276
I,Column Sampling,200,8,log2(n),0.06907068204407939,0.3564006497411017
I,Random Projection,200,8,log2(n),0.05504360866537714,0.4782048358547522
I,Column Sampling,200,58,(log2(n))^2,0.005578831873903523,1.608361055202345
I,Random Projection,200,58,(log2(n))^2,0.0005085329482309563,5.11443467429249
I,Column Sampling,200,40,n/5,0.008526012326757513,1.2441011137742535
I,Random Projection,200,40,n/5,0.003005980807428268,3.2951103893742952
I,Column Sampling,400,9,log2(n),0.21165686879096396,0.1975161383920641
I,Random Projection,400,9,log2(n),0.0655856827216838,0.2410587879986042
I,Column Sampling,400,75,(log2(n))^2,0.008480305969249119,1.16026546445153
I,Random Projection,400,75,(log2(n))^2,0.0033045580371660185,2.8245882214363633
I,Column Sampling,400,80,n/5,0.008340033714468975,1.1883902261577362
I,Random Projection,400,80,n/5,0.002672286675784346,3.1173312597609772
I,Column Sampling,800,10,log2(n),0.6166784941893919,0.11315533069398528
I,Random Projection,800,10,log2(n),0.07548078685489236,0.13113605991140517
I,Column Sampling,800,93,(log2(n))^2,0.014020786069533723,0.8292351646475913
I,Random Projection,800,93,(log2(n))^2,0.013088626029643469,1.6056372772571332
I,Column Sampling,800,160,n/5,0.008219092889803145,1.207654724649956
I,Random Projection,800,160,n/5,0.002593653738918349,3.1234423855442617
I,Column Sampling,1600,11,log2(n),1.5826307885210302,0.06296846614866733
I,Random Projection,1600,11,log2(n),0.08054974344285946,0.0708492037783279
I,Column Sampling,1600,113,(log2(n))^2,0.0259097238703478,0.5658646179334434
I,Random Projection,1600,113,(log2(n))^2,0.029489817593709444,0.8699024684890059
I,Column Sampling,1600,320,n/5,0.008336358601314136,1.2023583217646672
I,Random Projection,1600,320,n/5,0.002507282411397967,3.0664814782061174
II,Column Sampling,100,7,log2(n),0.7233255679560953,0.07542725545987243
II,Random Projection,100,7,log2(n),0.048729283206822925,0.09223079457474088
II,Column Sampling,100,44,(log2(n))^2,0.030506242360977043,0.6516492760753471
II,Random Projection,100,44,(log2(n))^2,0.016862262765534226,0.9606730649729582
II,Column Sampling,100,20,n/5,0.11764726547490978,0.22864889262600077
II,Random Projection,100,20,n/5,0.03398034798482485,0.2976673424017019
II,Column Sampling,200,8,log2(n),1.8463123403401216,0.04481568806540517
II,Random Projection,200,8,log2(n),0.049254424837895126,0.05051478572673971
II,Column Sampling,200,58,(log2(n))^2,0.05464175921512654,0.3585887354991943
II,Random Projection,200,58,(log2(n))^2,0.02665019621331833,0.4907918355095502
II,Column Sampling,200,40,n/5,0.11595062669247455,0.23052270350110518
II,Random Projection,200,40,n/5,0.034418963837302266,0.30076458699631414
II,Column Sampling,400,9,log2(n),4.098746640420594,0.025141725778545676
II,Random Projection,400,9,log2(n),0.04987314206072382,0.027730260194572965
II,Column Sampling,400,75,(log2(n))^2,0.12664823249248325,0.2123571566845269
II,Random Projection,400,75,(log2(n))^2,0.03526899056361802,0.2778815005852452
II,Column Sampling,400,80,n/5,0.11474115861509993,0.23006359160263162
II,Random Projection,400,80,n/5,0.03445344831451914,0.30177189077099625
II,Column Sampling,800,10,log2(n),8.511882838150871,0.014156566072847187
II,Random Projection,800,10,log2(n),0.05105930038408042,0.015316432052559902
II,Column Sampling,800,93,(log2(n))^2,0.3310740073309521,0.12940295783685865
II,Random Projection,800,93,(log2(n))^2,0.041314316434159115,0.15800642845037888
II,Column Sampling,800,160,n/5,0.11737440220821023,0.23245314409609225
II,Random Projection,800,160,n/5,0.034086411768500274,0.30086037758741646
II,Column Sampling,1600,11,log2(n),17.42814160323322,0.007862847666780203
II,Random Projection,1600,11,log2(n),0.05060011469573026,0.008321520532270754
II,Column Sampling,1600,113,(log2(n))^2,0.7833538844062151,0.07763557016887353
II,Random Projection,1600,113,(log2(n))^2,0.04540378591582546,0.09142131373439147
II,Column Sampling,1600,320,n/5,0.1182389092843444,0.23248462502601835
II,Random Projection,1600,320,n/5,0.033988426114591415,0.30083170638149287
